"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"319",161,1596,120,0,1858,0,862,630,143
"320",156,1604,121,0,1877,0,860,644,150
"321",158,1646,128,0,1889,0,879,649,150
"322",166,1615,122,0,1867,0,879,676,145
"323",161,1636,117,0,1883,0,858,677,147
"324",155,1651,115,0,1863,0,855,664,150
"325",147,1632,121,0,1881,0,881,663,146
"326",148,1629,115,0,1847,0,884,671,142
"327",154,1625,112,0,1887,0,901,679,145
"328",153,1636,113,0,1871,0,920,692,140
"329",158,1621,110,0,1880,0,890,681,148
"330",150,1613,106,0,1873,0,889,678,152
"331",145,1649,108,0,1885,0,897,658,153
"332",149,1660,109,0,1867,0,921,647,146
"333",142,1674,113,0,1866,0,909,648,141
"334",138,1673,115,0,1896,0,898,628,144
"335",139,1700,122,0,1842,0,868,665,135
"336",141,1641,121,0,1865,0,863,657,139
"337",147,1617,115,0,1870,0,853,653,140
"338",156,1669,126,0,1870,0,843,650,136
"339",151,1640,131,0,1871,0,859,671,149
"340",156,1663,128,0,1880,0,832,682,150
"341",157,1662,136,0,1867,0,839,646,157
"342",148,1665,131,0,1881,0,846,646,156
"343",138,1633,127,0,1883,0,860,636,165
"344",144,1630,131,0,1903,0,858,633,161
"345",143,1626,141,0,1863,0,841,630,159
"346",149,1616,133,0,1891,0,858,632,165
"347",145,1628,128,0,1887,0,850,644,160
"348",145,1636,131,0,1901,0,851,646,157
"349",143,1645,141,0,1924,0,899,640,152
"350",139,1640,141,0,1873,0,864,642,149
"351",126,1679,142,0,1891,0,888,626,147
"352",123,1681,142,0,1913,0,871,634,150
"353",134,1678,140,0,1893,0,883,640,147
"354",118,1680,145,0,1869,0,885,621,151
"355",125,1657,135,0,1857,0,882,648,151
"356",128,1679,135,0,1883,0,895,634,162
"357",129,1652,143,0,1884,0,860,650,159
"358",134,1618,133,0,1881,0,839,647,147
"359",141,1654,125,0,1860,0,839,629,151
"360",139,1698,135,0,1893,0,852,643,145
"361",150,1666,131,0,1930,0,879,679,143
"362",136,1671,145,0,1868,0,893,664,142
"363",135,1657,149,0,1856,0,870,673,143
"364",143,1663,146,0,1830,0,877,691,149
"365",156,1646,140,0,1850,0,904,673,152
"366",154,1651,134,0,1897,0,853,664,160
"367",145,1686,131,0,1863,0,862,670,154
"368",152,1660,126,0,1859,0,875,686,163
"369",143,1629,129,0,1902,0,884,683,162
"370",143,1653,133,0,1894,0,882,704,165
"371",144,1596,138,0,1900,0,893,673,158
"372",138,1598,151,0,1847,0,859,681,154
"373",134,1642,147,0,1815,0,831,662,149
"374",137,1656,141,0,1848,0,846,683,149
"375",131,1645,147,0,1823,0,797,680,148
"376",126,1657,140,0,1831,0,831,692,147
"377",121,1660,131,0,1874,0,825,695,152
"378",123,1698,135,0,1863,0,844,697,152
"379",119,1670,127,0,1882,0,846,677,156
"380",122,1684,125,0,1871,0,840,669,152
"381",119,1671,135,0,1906,0,868,674,163
"382",130,1644,126,0,1934,0,857,639,163
"383",137,1655,127,0,1919,0,877,645,164
"384",134,1634,126,0,1879,0,891,639,154
"385",140,1631,129,0,1876,0,893,636,157
"386",137,1653,125,0,1881,0,891,647,160
"387",145,1661,128,0,1897,0,883,670,157
"388",152,1630,126,0,1874,0,884,666,157
"389",164,1635,126,0,1881,0,905,655,160
"390",158,1629,113,0,1879,0,855,657,159
"391",166,1650,112,0,1911,0,872,675,160
"392",153,1635,120,0,1902,0,865,648,154
"393",154,1631,126,0,1870,0,854,648,159
"394",143,1646,126,0,1859,0,863,654,159
"395",139,1655,134,0,1902,0,862,648,161
"396",146,1620,142,0,1888,0,833,623,166
"397",139,1622,146,0,1870,0,835,635,167
"398",131,1670,139,0,1854,0,855,643,162
"399",127,1683,135,0,1887,0,877,652,153
"400",134,1654,129,0,1840,0,871,630,151
"401",134,1639,123,0,1858,0,861,629,160
"402",131,1636,126,0,1888,0,884,640,154
"403",134,1618,134,0,1913,0,892,643,154
"404",126,1632,138,0,1878,0,884,644,157
"405",137,1648,135,0,1895,0,868,650,157
"406",138,1661,126,0,1888,0,859,654,149
"407",125,1651,122,0,1878,0,841,657,141
"408",124,1649,111,0,1900,0,847,649,149
"409",133,1704,110,0,1905,0,862,651,148
"410",129,1708,115,0,1875,0,867,648,148
"411",125,1686,119,0,1822,0,877,638,153
"412",131,1664,118,0,1861,0,919,651,155
"413",131,1678,123,0,1887,0,893,665,157
"414",125,1700,122,0,1862,0,898,655,164
"415",129,1662,122,0,1843,0,870,646,155
"416",131,1672,123,0,1840,0,883,652,153
"417",126,1653,121,0,1864,0,884,665,159
"418",131,1680,134,0,1898,0,873,660,162
"419",142,1656,135,0,1869,0,881,647,157
"420",142,1644,132,0,1905,0,904,647,155
"421",150,1633,129,0,1894,0,880,631,157
"422",154,1628,118,0,1863,0,911,645,154
"423",149,1668,120,0,1879,0,886,626,158
"424",143,1645,127,0,1889,0,911,627,163
"425",154,1623,125,0,1874,0,889,634,156
"426",161,1623,129,0,1867,0,905,621,151
"427",171,1613,133,0,1888,0,896,617,148
"428",157,1634,129,0,1873,0,918,627,147
"429",168,1613,127,0,1869,0,911,628,148
"430",164,1608,130,0,1891,0,892,647,149
"431",150,1634,116,0,1873,0,900,630,142
"432",152,1650,124,0,1850,0,902,622,142
"433",160,1633,115,0,1844,0,928,633,144
"434",163,1637,114,0,1857,0,933,622,145
"435",165,1625,118,0,1876,0,941,612,148
"436",176,1646,120,0,1866,0,955,608,150
"437",164,1646,119,0,1888,0,936,592,153
"438",168,1608,115,0,1895,0,949,592,150
"439",165,1618,117,0,1901,0,931,590,148
"440",160,1576,122,0,1914,0,948,582,150
"441",157,1617,126,0,1927,0,950,575,157
"442",156,1636,138,0,1897,0,923,580,156
"443",160,1616,131,0,1883,0,932,597,156
"444",170,1607,124,0,1872,0,914,578,154
"445",172,1574,129,0,1841,0,940,569,158
"446",179,1569,130,0,1854,0,961,558,161
"447",176,1577,132,0,1895,0,924,567,159
"448",168,1627,133,0,1892,0,965,542,159
"449",164,1613,125,0,1901,0,948,546,152
"450",148,1587,127,0,1849,0,949,565,162
"451",155,1616,129,0,1859,0,966,572,163
"452",162,1615,127,0,1862,0,979,561,152
"453",158,1575,120,0,1870,0,987,546,156
"454",164,1597,126,0,1884,0,960,560,151
"455",170,1612,117,0,1855,0,955,575,152
"456",167,1595,115,0,1841,0,936,553,158
"457",167,1591,119,0,1887,0,950,560,158
"458",170,1568,114,0,1883,0,948,581,159
"459",174,1606,112,0,1839,0,955,567,156
"460",181,1593,110,0,1852,0,951,551,158
"461",174,1618,108,0,1872,0,965,537,159
"462",178,1613,111,0,1875,0,917,562,161
"463",169,1594,110,0,1865,0,909,579,149
"464",169,1610,112,0,1864,0,924,593,156
"465",168,1614,104,0,1837,0,881,593,156
"466",177,1631,111,0,1867,0,907,578,157
"467",181,1619,104,0,1854,0,962,588,161
"468",180,1592,120,0,1843,0,923,577,159
"469",179,1620,123,0,1862,0,932,584,159
"470",183,1596,128,0,1869,0,927,582,154
"471",189,1615,123,0,1856,0,897,587,151
"472",187,1589,134,0,1895,0,881,590,153
"473",191,1631,134,0,1916,0,922,603,149
"474",189,1631,126,0,1894,0,941,605,150
"475",179,1631,118,0,1910,0,929,598,147
"476",164,1622,123,0,1932,0,927,592,154
"477",171,1618,122,0,1934,0,926,593,149
"478",169,1596,122,0,1865,0,894,580,162
"479",174,1598,133,0,1875,0,897,569,154
"480",183,1590,127,0,1884,0,900,584,149
"481",181,1592,137,0,1882,0,891,613,149
"482",173,1561,138,0,1880,0,873,594,153
"483",177,1583,130,0,1893,0,875,599,156
"484",170,1582,130,0,1884,0,896,585,154
"485",159,1647,135,0,1880,0,904,594,149
"486",167,1634,132,0,1854,0,904,589,143
"487",166,1596,131,0,1850,0,906,569,151
"488",169,1611,134,0,1866,0,933,567,153
"489",168,1614,136,0,1893,0,946,578,160
"490",160,1599,130,0,1865,0,928,577,158
"491",171,1597,125,0,1886,0,907,573,144
"492",168,1616,127,0,1862,0,928,584,148
"493",150,1613,125,0,1868,0,930,623,160
"494",163,1628,126,0,1866,0,953,611,164
"495",148,1654,127,0,1823,0,948,594,157
"496",153,1626,130,0,1806,0,923,581,169
"497",151,1617,126,0,1854,0,906,580,161
"498",163,1626,127,0,1843,0,894,603,159
"499",160,1599,131,0,1842,0,925,604,162
"500",158,1576,139,0,1877,0,891,612,158
"501",162,1594,136,0,1861,0,897,570,161
"502",165,1623,137,0,1894,0,926,568,162
"503",170,1642,143,0,1889,0,967,586,167
"504",175,1646,135,0,1877,0,916,577,162
"505",169,1638,139,0,1910,0,941,553,153
"506",161,1618,141,0,1896,0,928,571,149
"507",165,1601,142,0,1862,0,924,576,156
"508",162,1582,132,0,1841,0,930,562,159
"509",170,1621,135,0,1833,0,941,565,155
"510",162,1602,134,0,1868,0,946,568,154
"511",168,1577,130,0,1856,0,926,576,142
"512",166,1582,141,0,1861,0,937,574,148
"513",168,1588,140,0,1871,0,959,568,146
"514",173,1596,141,0,1854,0,943,570,147
"515",167,1591,145,0,1860,0,972,591,149
"516",167,1598,159,0,1843,0,940,598,146
"517",164,1607,154,0,1903,0,905,589,148
"518",165,1582,150,0,1900,0,926,568,147
"519",158,1593,155,0,1905,0,934,579,152
"520",174,1617,138,0,1876,0,912,577,157
"521",160,1587,136,0,1857,0,880,572,154
"522",161,1607,152,0,1847,0,873,573,153
"523",154,1636,162,0,1915,0,888,559,150
"524",137,1623,150,0,1889,0,920,577,147
"525",147,1600,147,0,1855,0,915,587,149
"526",144,1603,152,0,1870,0,935,580,153
"527",148,1627,147,0,1883,0,911,574,151
"528",136,1645,161,0,1914,0,945,573,156
"529",139,1604,155,0,1886,0,955,573,148
"530",142,1607,159,0,1896,0,934,583,149
"531",148,1592,161,0,1899,0,948,581,144
"532",154,1583,159,0,1850,0,903,584,148
"533",150,1619,169,0,1927,0,945,581,147
"534",155,1579,162,0,1919,0,931,581,152
"535",160,1568,166,0,1883,0,910,586,149
"536",181,1566,159,0,1851,0,948,571,156
"537",171,1607,157,0,1838,0,946,579,150
"538",169,1601,153,0,1823,0,962,585,152
"539",171,1579,144,0,1842,0,944,600,157
"540",166,1567,140,0,1879,0,935,599,154
"541",177,1542,127,0,1843,0,946,583,158
"542",167,1542,141,0,1882,0,945,577,157
"543",157,1602,145,0,1880,0,974,567,160
"544",155,1611,150,0,1841,0,942,569,163
"545",149,1610,152,0,1889,0,932,580,163
"546",153,1643,148,0,1875,0,934,570,151
"547",141,1639,157,0,1846,0,943,577,157
"548",138,1605,161,0,1861,0,902,570,157
"549",125,1624,159,0,1889,0,921,558,168
"550",122,1624,162,0,1917,0,955,549,160
"551",119,1620,172,0,1849,0,965,542,154
"552",113,1624,172,0,1878,0,943,526,157
"553",125,1626,166,0,1869,0,972,537,151
"554",134,1613,164,0,1862,0,932,554,155
