"","ordered.gl.epochs.c","ordered.gl.epochs.r","ordered.gl.epochs.s"
"606",0,0,1717
"607",0,0,1748
"608",0,0,1740
"609",0,0,1711
"610",0,0,1740
"611",0,0,1770
"612",0,0,1726
"613",0,0,1713
"614",0,0,1777
"615",0,0,1758
"616",0,0,1725
"617",0,0,1736
"618",0,0,1702
"619",0,0,1696
"620",0,0,1678
"621",0,0,1688
"622",0,0,1703
"623",0,0,1675
"624",0,0,1696
"625",0,0,1718
"626",0,0,1720
"627",0,0,1710
"628",0,0,1757
"629",0,0,1737
"630",0,0,1750
"631",0,0,1704
"632",0,0,1718
"633",0,0,1688
"634",0,0,1668
"635",0,0,1722
"636",0,0,1745
"637",0,0,1733
"638",0,0,1736
"639",0,0,1716
"640",0,0,1753
"641",0,0,1747
"642",0,0,1730
"643",0,0,1709
"644",0,0,1730
"645",0,0,1760
"646",0,0,1741
"647",0,0,1734
"648",0,0,1742
"649",0,0,1722
"650",0,0,1703
"651",0,0,1709
"652",0,0,1722
"653",0,0,1720
"654",0,0,1704
"655",0,0,1689
"656",0,0,1686
"657",0,0,1692
"658",0,0,1742
"659",0,0,1708
"660",0,0,1708
"661",0,0,1734
"662",0,0,1733
"663",0,0,1749
"664",0,0,1726
"665",0,0,1714
"666",0,0,1686
"667",0,0,1758
"668",0,0,1739
"669",0,0,1761
"670",0,0,1760
"671",0,0,1755
"672",0,0,1749
"673",0,0,1793
"674",0,0,1786
"675",0,0,1780
"676",0,0,1757
"677",0,0,1766
"678",0,0,1772
"679",0,0,1694
"680",0,0,1671
"681",0,0,1673
"682",0,0,1713
"683",0,0,1720
"684",0,0,1699
"685",0,0,1725
"686",0,0,1757
"687",0,0,1725
"688",0,0,1719
"689",0,0,1733
"690",0,0,1722
"691",0,0,1736
"692",0,0,1763
"693",0,0,1714
"694",0,0,1692
"695",0,0,1692
"696",0,0,1686
"697",0,0,1672
"698",0,0,1678
"699",0,0,1695
"700",0,0,1695
"701",0,0,1719
"702",0,0,1712
"703",0,0,1688
"704",0,0,1739
"705",0,0,1790
"706",0,0,1747
"707",0,0,1746
"708",0,0,1730
"709",0,0,1753
"710",0,0,1725
"711",0,0,1722
"712",0,0,1726
"713",0,0,1695
"714",0,0,1709
"715",0,0,1710
"716",0,0,1679
"717",0,0,1702
"718",0,0,1702
"719",0,0,1682
"720",0,0,1698
"721",0,0,1695
"722",0,0,1721
"723",0,0,1714
"724",0,0,1696
"725",0,0,1746
"726",0,0,1774
"727",0,0,1751
"728",0,0,1725
"729",0,0,1705
"730",0,0,1730
"731",0,0,1761
"732",0,0,1741
"733",0,0,1719
"734",0,0,1731
"735",0,0,1700
"736",0,0,1697
"737",0,0,1726
"738",0,0,1698
"739",0,0,1695
"740",0,0,1701
"741",0,0,1700
"742",0,0,1701
"743",0,0,1730
"744",0,0,1750
"745",0,0,1740
"746",0,0,1695
"747",0,0,1696
"748",0,0,1663
"749",0,0,1687
"750",0,0,1721
"751",0,0,1738
"752",0,0,1748
"753",0,0,1742
"754",0,0,1708
"755",0,0,1727
"756",0,0,1777
"757",0,0,1738
"758",0,0,1778
"759",0,0,1768
"760",0,0,1722
"761",0,0,1728
"762",0,0,1742
"763",0,0,1725
"764",0,0,1714
"765",0,0,1766
"766",0,0,1718
"767",0,0,1717
"768",0,0,1708
"769",0,0,1762
"770",0,0,1719
"771",0,0,1736
"772",0,0,1699
"773",0,0,1701
"774",0,0,1678
"775",0,0,1704
"776",0,0,1702
"777",0,0,1677
"778",0,0,1709
"779",0,0,1713
"780",0,0,1747
"781",0,0,1712
"782",0,0,1693
"783",0,0,1760
"784",0,0,1733
"785",0,0,1707
"786",0,0,1698
"787",0,0,1708
"788",0,0,1730
"789",0,0,1726
"790",0,0,1732
"791",0,0,1746
"792",0,0,1774
"793",0,0,1750
"794",0,0,1758
"795",0,0,1765
"796",0,0,1766
"797",0,0,1721
"798",0,0,1711
"799",0,0,1697
"800",0,0,1679
"801",0,0,1689
"802",0,0,1683
"803",0,0,1713
"804",0,0,1703
"805",0,0,1696
"806",0,0,1686
"807",0,0,1759
"808",0,0,1717
"809",0,0,1711
"810",0,0,1720
"811",0,0,1715
"812",0,0,1750
"813",0,0,1736
"814",0,0,1710
"815",0,0,1678
"816",0,0,1693
"817",0,0,1668
"818",0,0,1704
"819",0,0,1742
"820",0,0,1771
"821",0,0,1762
"822",0,0,1744
"823",0,0,1714
"824",0,0,1701
"825",0,0,1722
"826",0,0,1746
"827",0,0,1746
"828",0,0,1724
"829",0,0,1750
"830",0,0,1703
"831",0,0,1681
"832",0,0,1669
"833",0,0,1730
"834",0,0,1698
"835",0,0,1724
"836",0,0,1725
"837",0,0,1719
"838",0,0,1735
"839",0,0,1743
"840",0,0,1727
"841",0,0,1707
"842",0,0,1700
"843",0,0,1699
"844",0,0,1740
"845",0,0,1712
